,Harry Potter - J. K. Rowling,The Avengers (Marvel Movies),Doctor Who,Sherlock (TV),Sherlock Holmes - Arthur Conan Doyle,Marvel Cinematic Universe,Thor (Movies),Hell's Kitchen (US TV) RPF,Hotel Hell RPF,MasterChef (US) RPF,MasterChef (TV) RPF,MasterChef (UK) RPF,Sherlock Holmes & Related Fandoms,Fantastic Beasts and Where to Find Them (Movies),Fullmetal Alchemist - All Media Types,The Avengers (2012),Marvel,Iron Man (Movies),The Avengers (Marvel) - All Media Types,Doctor Strange (2016),Spider-Man (Tom Holland Movies),Thor: Ragnarok (2017) - Fandom,Avengers: Infinity War Part 1 (Movie) - Fandom,Spider-Man - All Media Types,All the Young Dudes - Fandom,Bleach,Harry Potter - Rowling,Merlin (TV),Harry Potter - Fandom,Avengers,Sweater Weather - Lumosinlove,The Lord of the Rings - All Media Types,Good Omens - Neil Gaiman & Terry Pratchett,Discworld - Terry Pratchett,House M.D.,Supernatural,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,The 100 (TV),Good Omens (TV),Fullmetal Alchemist: Brotherhood & Manga,Twilight Series - All Media Types,Teen Wolf (TV),Rise of the Guardians (2012),Katekyou Hitman Reborn!,Agents of S.H.I.E.L.D. (TV),The Addams Family (Movies),Naruto,InuYasha - A Feudal Fairy Tale,Captain America (Movies),Captain America - All Media Types,X-Men - All Media Types,Harry Potter (books),Lucifer (TV),Legacies (TV 2018),人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,Deadpool - All Media Types,The Walking Dead (TV),Game of Thrones (TV),A Song of Ice and Fire - George R. R. Martin,Twilight,Avatar: The Last Airbender,Avatar: Legend of Korra,The Avengers - Ambiguous Fandom,Spider-Man: Homecoming (2017),Daredevil (TV),The Defenders (Marvel TV),Final Fantasy VII,Stargate - All Series,Hikaru no Go,The Hobbit - All Media Types,Artemis Fowl - Eoin Colfer,ワンパンマン | One-Punch Man,Thor (2011),Sherlock - Fandom,The Sentinel,The Secret Garden - Frances Hodgson Burnett,Thor - All Media Types,Labyrinth (1986),Hannibal (TV),Harry Potter and the Cursed Child - Thorne & Rowling,Twilight Series - Stephenie Meyer
work_1651109,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_15087428,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_1439476,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_15153092,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_16138103,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_5684710,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_22230682,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_6614155,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_16052816,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_4701869,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
